round, match, shot, s_k,    s_g,    goal
4,     18,    3,    Left,   Center, TRUE
4,     18,    3,    Center, Left,   TRUE
4,     18,    4,    Left,   Left,   FALSE
4,     18,    4,    Center, Right,  TRUE
4,     18,    5,    Right,  Center, TRUE
4,     18,    5,    Left,   Center, TRUE
5,     1,     1,    Right,  Right,  FALSE
5,     1,     1,    Left,   Center, TRUE
5,     1,     2,    Right,  Left,   TRUE
5,     1,     2,    Left,   Right,  FALSE
5,     1,     3,    Left,   Right,  TRUE
5,     1,     3,    Center, Center, FALSE
5,     1,     4,    Right,  Left,   TRUE
5,     1,     4,    Right,  Left,   TRUE
5,     1,     5,    Center, Right,  FALSE
5,     1,     5,    Right,  Right,  FALSE
5,     2,     1,    Right,  Center, TRUE
5,     2,     1,    Right,  Center, TRUE
5,     2,     2,    Left,   Right,  TRUE
5,     2,     2,    Left,   Right,  FALSE
5,     2,     3,    Right,  Center, TRUE
5,     2,     3,    Left,   Center, TRUE
5,     2,     4,    Right,  Left,   TRUE
5,     2,     4,    Right,  Left,   FALSE
5,     2,     5,    ,       ,       FALSE
5,     2,     5,    ,       ,       FALSE
6,     1,     1,    Right,  Right,  FALSE
6,     1,     1,    Center, Center, FALSE
6,     1,     2,    Right,  Center, TRUE
6,     1,     2,    Left,   Right,  TRUE
6,     1,     3,    Left,   Left,   FALSE
6,     1,     3,    Left,   Right,  TRUE
6,     1,     4,    Center, Center, FALSE
6,     1,     4,    Center, Left,   TRUE
6,     1,     5,    Right,  Right,  FALSE
6,     1,     5,    Left,   Left,   TRUE
